id,x,y
1,0.5815,0
2,0.5815,0.38
3,0.5815,0.7503
4,1.0329,0.7503
5,1.4428,0.7503
6,1.8529,0.7503
7,2.2114,0.7503
8,2.2114,1.634
9,2.9035,1.634
10,3.5435,1.634
11,4.1214,1.634
12,4.3339,1.634
13,4.3339,1.4359
14,4.3339,1.1359
15,4.3339,0.8359
16,4.3339,0.5359
17,4.1214,1.7359
18,4.1214,2.0359
19,4.1214,2.3662
20,4.1214,2.617
21,4.1214,2.8714
22,4.1214,3.125
23,4.1214,3.3857
24,4.1214,3.6241
25,4.1214,3.8649
26,4.1214,4.1195
27,4.1214,4.3678
28,4.1214,4.6048
29,4.1214,4.865
30,4.1214,5.165
31,4.1214,5.2935
32,4.1214,5.6088
33,4.3569,5.6088
34,4.6573,5.6088
35,4.9569,5.6088
36,4.0554,5.2935
37,3.7553,5.2935
38,3.4569,5.2935
39,3.1569,5.2935
40,2.8581,5.2935
41,2.4278,5.2935
42,2.2114,5.2935
43,2.1278,5.2935
44,1.8278,5.2935
45,1.5261,5.2935
46,1.2278,5.2935
47,0.9278,5.2935
48,0.6278,5.2935
49,0.3825,5.2935
50,0.3278,5.2935
51,0.3825,4.5448
52,0.3825,4.1312
53,0.3825,3.7135
54,0.3825,3.2999
55,0.3825,2.8646
56,0.3825,2.4315
57,0.3825,2.163
58,0.3825,1.634
59,0.3825,1.105
60,0.5815,1.105
61,2.2114,2.163
62,2.2114,2.3662
63,2.2114,2.617
64,2.2114,2.8887
65,2.2114,3.125
66,2.2114,3.3857
67,2.2114,3.6241
68,2.2114,3.8649
69,2.2114,4.1195
70,2.2114,4.3678
71,2.2114,4.6048
72,0.5815,-0.9
73,0.5815,-1.5
74,-2.3346,-1.5
75,-2.6846,-1.5
76,-3.0346,-1.5
77,-3.3846,-1.5
78,-3.7346,-1.5
79,-4.0846,-1.5
80,-4.4346,-1.5
81,-4.7846,-1.5
82,-5.1346,-1.5
83,-5.4846,-1.5
84,-5.8346,-1.5
85,-6.1846,-1.5
86,-6.5346,-1.5
87,-6.8846,-1.5
88,-7.2346,-1.5
89,-7.5846,-1.5
90,-7.9346,-1.5
91,-8.2846,-1.5
92,-8.6346,-1.5
93,-8.9846,-1.5
94,-9.3346,-1.5
95,-9.3346,-0.9
