Punto,Accion,Pedido,Referencia,Cantidad ,Posicion,Codigo Mensaje,Posicion del carro,Cantidad confirmada,Hora de inicio,Hora confirmación producto
73,0,,,,,m0,,,,
72,0,,,,,m0,,,,
1,0,,,,,m0,,,,
2,0,,,,,m0,,,,
3,0,,,,,m0,,,,
4,0,,,,,m0,,,,
5,0,,,,,m0,,,,
6,0,,,,,m0,,,,
7,0,,,,,m0,,,,
8,0,,,,,m0,,,,
9,0,,,,,m0,,,,
10,0,,,,,m0,,,,
11,0,,,,,m0,,,,
12,0,,,,,m0,,,,
13,0,,,,,m0,,,,
14,3,,310085000,10,D - C6 - N8,m1,2,,,
13,0,,,,,m0,,,,
12,0,,,,,m0,,,,
11,0,,,,,m0,,,,
17,0,,,,,m0,,,,
18,0,,,,,m0,,,,
19,0,,,,,m0,,,,
20,0,,,,,m0,,,,
21,0,,,,,m0,,,,
22,0,,,,,m0,,,,
23,0,,,,,m0,,,,
24,0,,,,,m0,,,,
25,0,,,,,m0,,,,
26,0,,,,,m0,,,,
27,0,,,,,m0,,,,
28,0,,,,,m0,,,,
29,0,,,,,m0,,,,
30,0,,,,,m0,,,,
31,0,,,,,m0,,,,
36,0,,,,,m0,,,,
37,0,,,,,m0,,,,
38,0,,,,,m0,,,,
39,0,,,,,m0,,,,
40,0,,,,,m0,,,,
41,0,,,,,m0,,,,
42,0,,,,,m0,,,,
43,0,,,,,m0,,,,
44,0,,,,,m0,,,,
45,0,,,,,m0,,,,
46,0,,,,,m0,,,,
47,0,,,,,m0,,,,
48,0,,,,,m0,,,,
49,0,,,,,m0,,,,
50,3,,127082707,70,A - C1 - N2,m1,1,,,
51,0,,,,,m4,,,,
52,0,,,,,m4,,,,
53,0,,,,,m4,,,,
54,0,,,,,m4,,,,
55,0,,,,,m4,,,,
56,0,,,,,m4,,,,
57,0,,,,,m4,,,,
58,0,,,,,m4,,,,
59,0,,,,,m4,,,,
60,0,,,,,m4,,,,
3,0,,,,,m4,,,,
2,0,,,,,m4,,,,
1,0,,,,,m4,,,,
72,0,,,,,m4,,,,
73,0,,,,,m4,,,,
74,0,,,,,m4,,,,
75,4,100,127082707,20,,m5,,,,
75,4,100,310085000,5,,m5,,,,
76,4,101,127082707,15,,m5,,,,
77,4,102,127082707,35,,m5,,,,
77,4,102,310085000,5,,m5,,,,
76,0,,,,,m2,,,,
75,0,,,,,m2,,,,
74,0,,,,,m2,,,,
73,2,,,,,m6,,,,
